age,education,outside_self,condition2,employed_now,college_deg,children,outside_wedge,age_groups
24,5,1,0,1,0,2,3,2
20,3,1,1,1,0,2,-4,1
28,3,1,0,0,0,0,-1,2
18,3,1,0,1,0,1,-7,1
29,6,1,0,1,1,2,2,2
20,6,1,0,1,1,0,3,1
22,3,1,1,1,0,1,-18,1
19,3,1,0,1,0,1,0,1
35,3,1,1,1,0,3,-11,3
35,6,1,0,1,1,2,-4,3
29,6,1,1,1,1,2,-21,2
29,7,1,1,1,1,2,-2,2
20,5,1,0,1,0,1,0,1
23,5,1,1,1,0,1,-20,1
18,3,0,0,1,0,2,-21,1
18,3,1,0,1,0,0,-3,1
28,6,1,0,1,1,1,3,2
18,3,1,0,0,0,2,3,1
25,5,1,1,1,0,1,-2,2
25,5,1,1,1,0,2,3,2
25,7,1,0,1,1,2,-16,2
25,5,1,1,1,0,1,-11,2
23,3,0,1,1,0,1,2,1
34,4,1,0,1,0,4,-3,3
18,3,1,0,1,0,2,-10,1
23,5,1,0,1,0,1,-6,1
21,3,1,1,1,0,2,3,1
25,6,1,1,1,1,2,3,2
18,3,1,0,1,0,1,3,1
19,3,1,0,1,0,2,-0.117645263671875,1
27,6,1,1,1,1,3,-8.117645263671875,2
19,3,1,0,1,0,0,-0.117645263671875,1
21,3,1,0,0,0,3,-9.117645263671875,1
19,5,1,1,1,0,3,-12.117645263671875,1
26,3,1,1,1,0,1,0.882354736328125,2
18,3,1,0,1,0,0,-5.117645263671875,1
29,5,1,0,1,0,0,-5.117645263671875,2
19,5,1,0,1,0,3,-18.117645263671875,1
26,5,1,0,1,0,2,-18.117645263671875,2
30,3,1,0,0,0,4,-8.117645263671875,3
34,8,1,1,1,1,3,-5.117645263671875,3
33,3,1,0,1,0,4,-11.117645263671875,3
26,6,1,0,1,1,0,-3.117645263671875,2
25,6,1,0,1,1,0,0.882354736328125,2
18,3,1,1,1,0,0,0.882354736328125,1
21,5,1,1,1,0,1,-4.117645263671875,1
20,3,1,1,1,0,4,0.882354736328125,1
22,3,1,0,1,0,4,-19.117645263671875,1
24,3,0,0,1,0,2,-4.117645263671875,2
20,3,1,0,1,0,0,-13.117645263671875,1
20,3,1,0,1,0,0,-16.117645263671875,1
24,5,1,0,1,0,2,-1.117645263671875,2
32,5,1,1,1,0,4,-15.117645263671875,3
25,6,1,1,1,1,1,-13.117645263671875,2
25,6,1,1,0,1,0,-2.117645263671875,2
23,5,1,0,1,0,1,-0.117645263671875,1
18,3,1,1,0,0,0,-0.117645263671875,1
28,5,1,0,1,0,2,0.882354736328125,2
18,3,1,1,1,0,0,-0.117645263671875,1
18,3,1,1,1,0,0,-2.117645263671875,1
21,3,1,1,0,0,0,-13.117645263671875,1
22,3,1,1,1,0,2,-10.117645263671875,1
22,3,1,0,1,0,1,-12.931035995483398,1
20,3,1,1,1,0,1,-4.931035995483398,1
19,3,1,1,1,0,1,-8.931035995483398,1
19,3,1,0,1,0,1,-7.931035995483398,1
25,5,1,1,1,0,1,-15.931035995483398,2
20,3,1,0,1,0,1,-20.9310359954834,1
20,3,1,0,1,0,2,-6.931035995483398,1
24,3,1,1,1,0,0,2.0689640045166016,2
20,3,1,0,1,0,1,-18.9310359954834,1
22,3,1,0,1,0,1,2.0689640045166016,1
21,3,1,0,1,0,1,-13.931035995483398,1
20,5,1,1,1,0,1,-0.9310359954833984,1
21,3,1,0,1,0,1,-10.931035995483398,1
21,3,1,1,1,0,3,2.0689640045166016,1
24,3,1,1,1,0,1,-1.9310359954833984,2
19,3,0,1,1,0,1,1.0689640045166016,1
28,5,1,1,1,0,3,-3.9310359954833984,2
19,8,1,0,1,1,3,-17.9310359954834,1
26,7,1,1,1,1,2,-17.9310359954834,2
